run_id,case_id,passage_id,artifact_type,text_sha256,character_n
technical-3297298c775d,HCI-01,HCI-01-A,recruitment,8c9bc85703edd398e299a0750eaab90a52d20fb148023897892d6bc79054a750,64
technical-3297298c775d,HCI-01,HCI-01-B,safety,0a679ce7224aa97b6ed3f108bf26dc94b7217895060e449a611ca2c79f118d9d,76
technical-3297298c775d,HCI-01,HCI-01-C,follow_up,541c0ea51c115fa626adbda4eb3bd564834b64fba27091aaaed16f0ca8f593fa,55
technical-3297298c775d,HCI-02,HCI-02-A,consent,83659884266dd7ba54f97798962e29b63c7ec2759e431fe9a171fd51ddd6b90f,60
technical-3297298c775d,HCI-02,HCI-02-B,safety,b24db2baad577e13b835628af25573dfbd7263c1ea8289a32e7f34968c0834f5,67
technical-3297298c775d,HCI-02,HCI-02-C,recruitment,b48bde360d065ba6b16e82c18b9cc6872adce4cbd762b0434315b14c2027338c,60
technical-3297298c775d,HCI-03,HCI-03-A,consent,aba03cae7fb5691a1079c80fa148854866c48b0c24130e26bba38a2ec3f64871,72
technical-3297298c775d,HCI-03,HCI-03-B,safety,1889a52813056b5a9f8b45a02bf414c50a5806edd43cdeed0bf8439c38abc816,58
technical-3297298c775d,HCI-03,HCI-03-C,activity,8967e80cbce0a4e254b11cae3fde029cf920a3b0925d432d0a998a4781062430,69
technical-3297298c775d,HCI-03,HCI-03-D,recruitment,64d147ad12b9c4ceefb30255445311923d51a94895f3b696c4fbd06a37fe2624,51
technical-3297298c775d,HCI-04,HCI-04-A,consent,a454dc7a0d7f89c5e060df8fe41da839ffbd952e1c503baa5a24c269dc9b9a76,54
technical-3297298c775d,HCI-04,HCI-04-B,safety,00baa490932f5abbf01980a466c65ba346960de1b66cf3771668ec55d69b1acd,53
technical-3297298c775d,HCI-04,HCI-04-C,follow_up,d60999d72d0361673d2aa47ab76fe038eae21efd0ad31ac3be10923f211a42b2,56
technical-3297298c775d,HCI-05,HCI-05-A,consent,ff9c7605a37624fab32059df83b1dfeb714f0e42c222d180c6a304646d83f125,48
