study_id,participant_id,sequence_id,task_order,condition,case_id
SB-CHI27,P001,S8,1,general_chat,B2_AI
SB-CHI27,P001,S8,2,safebars_full,A1_NON_AI
SB-CHI27,P002,S1,1,safebars_full,A1_NON_AI
SB-CHI27,P002,S1,2,general_chat,B1_AI
SB-CHI27,P003,S5,1,safebars_full,B1_AI
SB-CHI27,P003,S5,2,general_chat,A1_NON_AI
SB-CHI27,P004,S7,1,safebars_full,B2_AI
SB-CHI27,P004,S7,2,general_chat,A2_NON_AI
SB-CHI27,P005,S7,1,safebars_full,B2_AI
SB-CHI27,P005,S7,2,general_chat,A2_NON_AI
SB-CHI27,P006,S8,1,general_chat,B2_AI
SB-CHI27,P006,S8,2,safebars_full,A1_NON_AI
SB-CHI27,P007,S2,1,general_chat,A1_NON_AI
SB-CHI27,P007,S2,2,safebars_full,B2_AI
SB-CHI27,P008,S4,1,general_chat,A2_NON_AI
SB-CHI27,P008,S4,2,safebars_full,B1_AI
SB-CHI27,P009,S6,1,general_chat,B1_AI
SB-CHI27,P009,S6,2,safebars_full,A2_NON_AI
SB-CHI27,P010,S5,1,safebars_full,B1_AI
SB-CHI27,P010,S5,2,general_chat,A1_NON_AI
SB-CHI27,P011,S7,1,safebars_full,B2_AI
SB-CHI27,P011,S7,2,general_chat,A2_NON_AI
SB-CHI27,P012,S2,1,general_chat,A1_NON_AI
SB-CHI27,P012,S2,2,safebars_full,B2_AI
SB-CHI27,P013,S5,1,safebars_full,B1_AI
SB-CHI27,P013,S5,2,general_chat,A1_NON_AI
SB-CHI27,P014,S6,1,general_chat,B1_AI
SB-CHI27,P014,S6,2,safebars_full,A2_NON_AI
SB-CHI27,P015,S3,1,safebars_full,A2_NON_AI
SB-CHI27,P015,S3,2,general_chat,B2_AI
SB-CHI27,P016,S8,1,general_chat,B2_AI
SB-CHI27,P016,S8,2,safebars_full,A1_NON_AI
SB-CHI27,P017,S3,1,safebars_full,A2_NON_AI
SB-CHI27,P017,S3,2,general_chat,B2_AI
SB-CHI27,P018,S2,1,general_chat,A1_NON_AI
SB-CHI27,P018,S2,2,safebars_full,B2_AI
SB-CHI27,P019,S1,1,safebars_full,A1_NON_AI
SB-CHI27,P019,S1,2,general_chat,B1_AI
SB-CHI27,P020,S4,1,general_chat,A2_NON_AI
SB-CHI27,P020,S4,2,safebars_full,B1_AI
SB-CHI27,P021,S6,1,general_chat,B1_AI
SB-CHI27,P021,S6,2,safebars_full,A2_NON_AI
SB-CHI27,P022,S1,1,safebars_full,A1_NON_AI
SB-CHI27,P022,S1,2,general_chat,B1_AI
SB-CHI27,P023,S4,1,general_chat,A2_NON_AI
SB-CHI27,P023,S4,2,safebars_full,B1_AI
SB-CHI27,P024,S3,1,safebars_full,A2_NON_AI
SB-CHI27,P024,S3,2,general_chat,B2_AI
